,section,question_number,answer_number,speaker_name,role,company,content,year,quarter,is_pleasantry,source_pdf,role_normalised
189,qa,19.0,1.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"Yeah. No, I don't think we'll necessarily be through all the uncertainty. I think you'll just know a lot more. And my quote was about, get over it. I wish I hadn't said it. I was specifically referring to tariffs relating to protecting national security. National security is paramount. All things should be subordinated to it. You may need tariffs to help fix some of the problems related to national security. National security is a small part of trade, so – and it's rare earths, penicillin, medical ingredients, certain types of – obviously, you've heard about semiconductors. That was my quote about, get over it. I did not change my view about it. I would like to see the administration negotiate trade deals. I think they'll be good for everybody, and they want to do it too. They've said they want to do it. They've said they're having conversations with 70, 80 different people. And so I do think if the regulators change regulations, it will free up capital and liquidity to finance the system. And I don't – I wouldn't expect an expense drawdown that you're going to see. There will be thousands – hundreds of people, maybe, but it's not going to be passed on. But it will reduce net-net the cost of liquidity and the cost of loans and the cost of mortgages, if it's done right. I specifically pointed out the mortgage issue in my Chairman's letter this year about if they do some of these reforms, the cost of mortgages would come down 70 basis points. If I were them, I'd be focusing on that right now.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
190,qa,19.0,1.0,Mike Mayo,analyst,Well Fargo Securities LLC,"No, and you also mentioned hundreds of billions of dollars of extra lending if you reduce the CET1 ratio, I guess, back down by one-fifth.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,analyst
191,qa,19.0,2.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"If you do all – you have to fix LCR, G-SIFI, CCAR, SLR, and I think would free up hundreds of billions of dollars for JPMorgan annually of various types of lending to the system. Some would be markets, some would be middle market loans, et cetera. And I pointed out, if you wanted to look at the big numbers, that loans to deposits are now 70% for the banking system writ large. That used to be 100%, and the reason for that isn't – it's not just capital. It is also LCR, it is also G-SIFI, also – and the question you should ask because you are very smart, Mike, is could you have the same – and I believe you have a safer system, lend more money, have more liquidity, eliminate bank runs, eliminate what happened to First Republic and Silicon Valley, and you could accomplish all of that with completely rational and thoughtful regulations. That's what I would like to see them do. I don't know what's going to happen. We're going to...",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
192,qa,19.0,2.0,Mike Mayo,analyst,Well Fargo Securities LLC,One short...,2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,analyst
193,qa,19.0,3.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"You can read our – I think our NPRs are public and stuff like that. And so they should do that. Just make a better system. Or you have the best in the world. We've kind of started to cripple it slowly. If you don't – I'd say, you look at these rules and regulations. See Europe. If that's where we want to go. Let's just go there.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
194,qa,20.0,,Mike Mayo,analyst,Well Fargo Securities LLC,"One short follow-up. Just first quarter, you mentioned good credit, good trading, good EPS beat. I'm not sure anyone cares. They're worried more about the things we're talking about here. But in terms of the risk of being an international company, an international U.S. company during trade wars. And I know JPMorgan is a firm that likes to partner with countries as well as communities and customers. So how do you think about that risk? How should we think about that risk? And hopefully, your voice is being heard to speed things along to whatever can be done, getting it done because you could be in the crosshairs at some point.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,analyst
195,qa,20.0,1.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"Yeah. I honestly add that to the list of worries. We will be in the crosshairs. That's what's going to happen. And it's okay. We're deeply embedded in these other countries, people like us. But I do think some clients or some countries will feel differently about American banks, and we'll just have to deal with that.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
196,qa,20.0,1.0,Mike Mayo,analyst,Well Fargo Securities LLC,All right. Thank you. Operator: Thank you. Our next question comes from Glenn Schorr with Evercore. Your line is open.,2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,analyst
197,qa,21.0,,Glenn Schorr,analyst,Evercore Group LLC,"Hi. Just one follow-up on this whole risk management/regulatory front. I see, I hear and I agree: flawed regulatory system, could be better. We've had massive volatility. The market plumbing has held in okay so far and you and others have had borderline spectacular trading results. So, has something changed? Are the systems better? Are they better able to handle your risk management, your people, the diversity of your platform better? Or are there still environments where not all volatility is good? Just curious to get your big picture thoughts. Thanks.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,analyst
198,qa,21.0,1.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"I mean, maybe I'll start with that one, Glenn. So, I guess, I think that your points aren't mutually exclusive. Meaning, I mean, we're always continually improving the franchise. We've talked a lot about inward investment in all of our businesses, including Markets. And so we try to be more complete and invest in technology and work more closely with our clients. So I'm sure we're kind of better at it than we were five years ago, as I think probably everyone is at the margin. I'm not sure that you can associate that with the current performance. I think these just happen to be very favorable conditions that we've managed very successfully. And to your point, I think your specific question of like is there – are there still forms of volatility that can be bad for the Markets franchise? The answer to that question is definitely yes. When you have gappy volatility with no trading volume, people paralyzed, clients unsure what to do, active managers struggling, those environments are bad. So people make fun of the kind of good volatility, bad volatility story, but whether we like it or not, it's real. And in the end, we just have to manage the risks and serve the clients. And as I said earlier, we're happy to see that...",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
199,qa,21.0,2.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"Jeremy – I agree. Jeremy, I would add to that. Volatility leads to bigger bid-ask spreads, that, all things being equal, is better. And it leads sometimes to higher volumes. So you've seen really high volumes in FX and interest rate swaps, a whole bunch of different things, treasuries. That's better. But as Jeremy pointed out, sometimes that kind of volatility leads to very low volumes, like you see in DCM today when you don't have these bond deals where you have less trading, when you have – so it will have lower volumes in certain markets and stuff like that. And how it all filters through is almost impossible to tell. But our folks do a great job and we're here to help our clients. So we know that volumes can go up or down and spreads can go up or down. But the plumbing of the system, I would say the plumbing worked well during COVID too. I mean, it wasn't the plumbing that was a problem and wasn't even a problem to go back to some of the real crises we've had, so – but you should always worry about that kind of thing, make sure it stays true.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
200,qa,21.0,3.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"And I do think that the fact that the revenue performance in this quarter is good shouldn't make us lose focus on the importance of the larger fixes around financial resource deployment by regulated banks to supporting the capital markets ecosystem. Everything Jamie's been talking about SLR, LCR, ILST, G-SIB, Basel III Endgame, RWA, the whole panoply of items, which interacts, as we've often talked about and is miss- calibrated, it will, at the margin, make it harder for banks to serve a stabilizing function in a difficult moment. So that remains quite important as a policy priority.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
201,qa,21.0,3.0,Glenn Schorr,analyst,Evercore Group LLC,That's a great point. Thanks for that. Appreciate it.,2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,analyst
202,qa,21.0,4.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Thanks, Glenn. Operator: Thank you. And our final question will go to the line of Saul Martinez with HSBC. You may proceed.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
203,qa,22.0,,Saul Martinez,analyst,"HSBC Securities (USA), Inc.","Okay. Good morning. Thanks for taking my question. Most of my questions have been asked and answered, but I guess I'll ask about costs since nobody has asked it. But I guess how should we think about the cost structure and any sort of cost optimization efforts, if you do see a revenue slowdown, but not necessarily a severe downturn? I think you do have, in the $95 billion guidance, you do have a good amount of growth penciled in for investing in bankers and branches and tech and marketing. And I guess, do you – does it make sense or under what conditions would it make sense for you to maybe pull back on some of these investments? Or do you think that's just completely shortsighted unless we see a real significant downturn in the economy.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,analyst
204,qa,22.0,1.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Yeah. So you've slightly answered your own question there, Saul, but it is nonetheless a good question. So let me unpack it a little bit. So the way I think about it is there are some elements of the expense base which automatically reset as a function of the business environment. So we talk about those as volume- and revenue-related expenses. So you will see those come down as a function of the environment. It's also true that there are conceivably certain investment business cases, which depending on how the environment changes, could no longer make sense analyzed in the same way that we analyze them originally, i.e., through the lens of their ability to generate long-term shareholder value through a long investment cycle. And so if for whatever reason the environment changes in such a way as to make certain of those investments less compelling, we would obviously adjust. Of course, the thing that we're not going to do is stop investing in things that we still think are very compelling to our traditional long-term investment lens, simply for the purposes of achieving a cosmetic reduction in expenses in an environment where you may or may not have a reduction in revenues for unrelated reasons. As you well know, that's just not how we run the company. This quarter, as it happens, a question you might have is how are you managing to keep your guidance the same with what you're saying about, for example, the Investment Banking outlook? But it's worth noting that Investment Banking performance this quarter was actually fine. As you know, Markets performance was very strong. And there are also some ups and downs in there, I should note, including the fact that there is some sensitivity to the expense base to the strength of the dollar, or weakness in this case. And while some of that is offset in revenue, it's a little noisy, so that's a factor as well. It's small, but I'm just highlighting that there's some slightly non-obvious things that are non-strategic, obviously.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
205,qa,22.0,2.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"Can I just add a management thing that I think is very important. And I always talk about good expenses and bad expenses and the good expenses of the bankers and branches that we think will pay off and – but there are also bad expenses, which I would put in the category of bureaucracy, lack of efficiency, things you don't need to do. And you can – if you go to – if you read my Chairman's letter, the last section is called Management Learnings. And if you look at companies that over time fail, it's almost always bureaucracy, complacency, arrogance and lack of attention to detail. And so there is – we're making a – I shouldn't say it, but I'm mad at myself for not doing it sooner to spend a little more time that after COVID – the buildup in headcount, the buildup in rules and regulations, the people working or not working from home. After all of those things, we just think there's more efficiency here. And I think some of the – and Mike Mayo mentioned the bit about regulation. He is right. There will be reductions in cost because rules and regulations will be modified a little bit. I mean we – I pointed out resolution/recovery, which is a complete waste of time, is 80,000 pages long. Okay. It will never happen that way. CCAR, which is virtually a waste of time, is 20,000 pages long. Okay. We report 1 trillion – I think it's 1 trillion bits of data every day or something like that to the – all the various regulators and stuff like that. There is this excessive cost built up that we – that hopefully we can get rid of and will reduce the cost of the system and – but it's not the new branches, so.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
206,qa,22.0,3.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"And the folks here are working on, we call it, streamlining. Jenn Piepszak has got a war room going on it. We already have a significant amount of saves and stuff like that, so – and we're having fun doing it. It's like – to me, it's like exercising and eating your spinach. It's what we should be doing. We haven't done it for a while, so – and I apologize to my shareholders for not having done this a little bit sooner.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
209,qa,22.0,4.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"Thank you. We'll talk to you next quarter. Operator: Thank you all for participating in today's conference. You may disconnect at this time and have a great rest of your day. Disclaimer This document contains forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. These statements are based on the current beliefs and expectations of JPMorgan Chase & Co.’s management and are subject to significant risks and uncertainties. Actual results may differ from those set forth in the forward-looking statements. Factors that could cause JPMorgan Chase & Co.’s actual results to differ materially from those described in the forward-looking statements can be found in JPMorgan Chase & Co.’s Annual Report on Form 10-K for the year ended December 31, 2024, which has been filed with the Securities and Exchange Commission and is available on JPMorgan Chase & Co.’s website (https://jpmorganchaseco.gcs-web.com/financial-information/sec-filings), and on the Securities and Exchange Commission’s website (www.sec.gov). JPMorgan Chase & Co. does not undertake to update any forward-looking statements",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
210,presentation,,,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"names, partially offset by the scenario probability adjustment I mentioned upfront. Turning to Asset & Wealth Management to complete our lines of business. AWM reported net income of $1.5 billion with pre-tax margin of 34%. Revenue of $5.8 billion was up 10% year-on-year, driven by growth in management fees on strong net inflows and higher average market levels, as well as higher brokerage activity and higher deposit balances. Expenses of $3.7 billion, were up 5% year-on-year, driven by higher compensation, including revenue-related compensation, and continued growth in our private banking advisor teams, as well as higher distribution fees. Long-term net inflows were $31 billion for the quarter, led by Fixed Income and Equities. In liquidity, we saw net inflows of $5 billion. AUM of $4.3 trillion was up 18% year-on-year, and client assets of $6.4 trillion were up 19% year-on-year, driven by continued net inflows and higher market levels. And finally, loans were up 7% year-on-year and 3% quarter-on-quarter, and deposits were up 9% year-on-year and 2% sequentially. Turning to Corporate. Corporate reported net income of $1.7 billion and includes the tax item I mentioned upfront. Revenue was $1.5 billion for the quarter. NII was $1.5 billion, down $875 million year-on-year. NIR was a net gain of $49 million, up $148 million year-on-year, excluding the prior year's Visa-related gain. Expenses, $547 million, were down $32 million year-on-year, excluding the Foundation contribution from the prior year that I mentioned earlier. To finish up, I'll touch on the outlook. You'll recall that at Investor Day, I made a couple of comments previewing the potential evolution of the outlook. So now, let me formalize that and give you updated guidance. First, we now expect NII ex. Markets to be approximately $92 billion, with the increase driven by changes in the forward curve and strong deposit growth in Payments, Securities Services as well as balanced growth in Card. Total NII guidance is now about $95.5 billion, implying $3.5 billion of Markets NII. Second, on adjusted expense, we now expect it to be about $95.5 billion, primarily driven by the impact of the weaker dollar, which is largely bottom line neutral. And finally, on credit, we continue to expect the Card net charge-off rate to be approximately 3.6%. So reflecting on the quarter, while the environment remains extremely dynamic, in many ways navigating uncertainty is the norm for both us and our clients.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
211,qa,,,Christopher McGratty,analyst,"Keefe, Bruyette & Woods, Inc.","Great. Good morning. Thanks for the question. Jamie, relative to three months ago, there's a lot of optimism...",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,analyst
214,qa,,,Jeremy Barnum,Chief Financial Officer,JPMorganChase,Just wanted to welcome you to the call before we get started.,2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
215,qa,1.0,,Christopher McGratty,analyst,"Keefe, Bruyette & Woods, Inc.","Great. Thanks so much. Relative to three months ago, there's a lot of optimism on financial deregulation and really going to break in the bank's favor. I'm interested if you agree, number one, with this optimism and anything specifically you could point to? And secondarily, on capital. I'm interested in what's on or off the table in terms of uses of capital? What do you need to see from the macro, regulatory? And how should we be thinking about the timing? Thank you.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,analyst
216,qa,1.0,1.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Let me take the second part of that first. So, we have our centered capital hierarchy that we recite a lot, and I don't want to bore you by reciting it again. But I think it's important because it does serve as a guide in this context, right? So, we deploy our capital against organic and inorganic growth, and we ensure a sustainable dividend. And with what's left, we do buybacks. And so, we've talked about how excess capital's earnings in store. You saw this quarter that we actually had some financial resource usage that came through and actually meant that, despite keeping the buybacks relatively constant and having the organic capital generation be relatively constant, the CET1 ratio dropped a little bit as a function of increased usage organically showing up in RWA expansion. So, we're doing what we want to do. But clearly, it is a big amount of excess and that does mean that everything is on the table as it always is, and that includes potentially inorganic things. Now, obviously, that needs to be done carefully. I think acquisitions have a high bar, both financially, strategically, and importantly, in some cases, culturally. And we also need to think carefully about things that work outside the regulated perimeter, might not work inside the regulated perimeter as well. We have learned some lessons. We don't want to overlearn those lessons. But in the end, sometimes we lean in a little more, sometimes we lean in a little less, but we wouldn't be doing our jobs if we weren't thinking about it. I don't particularly think, other than fundamentally whether things are permissible or not, that the regulatory environment right now, particularly shapes our thinking on that front.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
217,qa,1.0,2.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"Can I say just a broader point about regulations. I think it's very important that the regulators step back and kind of look at the big picture now, not just one picture. So, nothing's happened yet. I think they should be looking at all these things. But if you look at SLR, G-SIFI, CCAR, Basel III, FSRT, the overlap, the duplication, I actually believe that you can make the system simpler, cheaper, more effective, more transparent and safer. And the things like Silicon Valley Bank and First Republic did not need to happen if you just modify some things and you create more liquidity, more loans and a safer system. And that's really what they should be looking at, not just SLR. And so, I'm hoping that over time they do that. And the second thing I'd add to that which I think is even maybe more important is, they should ask the question, what do they actually want in our public markets versus our private markets, et cetera. We've gone from 8,000 public companies, I'm talking about like 25 years ago, to 4,000 today. That's happened overseas. Public markets overseas have gotten smaller and smaller. Obviously, I'm not against private credit; private credit is growing. And how do you really want to structure this? And why is it happening? Is that a good thing for America?",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
218,qa,1.0,3.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"And so, I just – it is time that they take a step back. I hear sometimes from some pundits that there's been relaxing of rules and regulations, absolutely not. There's been nothing but increasing them for the better part of 15 years. They should take a deep breath, step back and look at the system and answer the question, how can we make it better and stronger for the economy and all involved.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
219,qa,1.0,4.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"And maybe sort of gone a bit long here, but just to expand and go into a little bit of detail there. I will note that Vice Chair Bowman, gave a speech on her vision having come into the new seat for ongoing work and regulation. And I think it's a speech that's pretty comprehensive and lays out some of what Jamie is saying in terms of like the to-do list. I think at the margin, we do understand the desire to sort of knock some things off the to-do list that have been on it for a long time and clearly need to be addressed like SLR. But at the same time that that happens, the holistic review done properly across not only capital, but also liquidity, resolution, et cetera, is clearly quite important. More narrowly, in the near term, I think we continue to feel very strongly that of all the things that are out there, one of the worst is G-SIB, in the sense of both the original gold plating, the sort of deep conceptual flaws in the framework itself, and the failure to recalibrate it for growth since it was put into effect. And I think one of the things that's maybe a little bit underdiscussed there is the extent to which it specifically creates strong disincentives for American banks to be strong and globally competitive. And that is, it seems to me, the exact opposite of what we want. So, that's really one of the ones that needs to get attacked pretty aggressively, I would say.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
220,qa,2.0,,Christopher McGratty,analyst,"Keefe, Bruyette & Woods, Inc.","I appreciate all the color. If could ask kind of a follow-up, the inorganic comments. I'm interested in capital allocation between your businesses, where you think – if that were to present an opportunity, which businesses would most likely be the use of that capital? Thanks.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,analyst
221,qa,2.0,1.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"I mean, we've talked about that a little bit over time. Obviously, we're not fundamentally capital constrained right now. So, I mean, in addition to the fact that capital isn't the only financial resource that we need to allocate, I would say, the larger point is that any good franchise business that it makes sense from a risk perspective and clears the cost of equity is going to get done, within reason, subject to obvious caveats. So...",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
222,qa,2.0,2.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"Inorganic, it's a good discipline to always be looking. I wouldn’t have high expectations that will be how we use a lot of capital. And I think it's a very big plus that we can grow organically in every business we're in without having to stretch.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
224,qa,2.0,3.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,Thank you. Operator: Thank you. Next we will go to the line of Betsy Graseck from Morgan Stanley. You may proceed.,2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
227,qa,3.0,,Betsy L. Graseck,analyst,Morgan Stanley & Co. LLC,"So, two questions. First on the RWA utilization via organic, as you described. I wanted to understand in wholesale lending where you highlighted, the CIB was a driver of much of this. Could you speak to the drivers of those drivers? In other words, is it private credit? Is it M&A financing? Is it inventory? What are you seeing in the market here that you're delivering on that's raising that lending profile?",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,analyst
228,qa,3.0,1.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"It's all of the above, Betsy, because we are the Switzerland of financing. We do everything, and we saw a lot of activity come in late in the quarter.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
229,qa,4.0,,Betsy L. Graseck,analyst,Morgan Stanley & Co. LLC,"Okay. Oh, great. All right. Thank you. And then, Jamie, there's been a lot of discussion around stablecoin, how stablecoin is going to be impacting banks? And I believe you have an opinion on this. Would love to hear if you could highlight how JPM is thinking about utilizing, leveraging, competing with stablecoin, and how the JPMD deposit token feeds into all of this as well? Thank you.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,analyst
230,qa,4.0,1.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"So, deposit token is effectively the same thing. You're moving money by token, you can pay interest. It's J.P. Morgan Deposit. And stablecoin – we're going to be involved in both J.P. Morgan Deposit coin and stablecoins to understand it, to be good at it. We don't know exactly – I think they're real, but I don't know why you'd want a stablecoin as opposed to just payment. But I do think you have fintech. These guys are very smart. They're trying to figure out a way to create bank accounts and get into payment systems and rewards programs. And we have to be cognizant of that. The way to be cognizant is to be involved. So, we're going to be in it and learning a lot, and a player.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
231,qa,5.0,,Betsy L. Graseck,analyst,Morgan Stanley & Co. LLC,"Okay. Super. And then, separately on the topic of open banking, I think that's on hold right now with the CFPB, on hold right now. But just wanted to understand, does this hold period gave you an opportunity to change how you're pricing for your open banking and fintech relationships here?",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,analyst
232,qa,5.0,1.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"So, this is very important. So forget pricing for a second, we are in favor of the customer, but we think the customer has the right to if they want to share their information. What we ask people to do is, what do they – do they actually know what's being shared? What is actually being shared? It shouldn’t be everything. It should be what their customer wants. It should have a time limit because some of these things went on for years. It should not be remarketed or resold to third parties. And so, we're kind of in favor of all that, done properly. And then the payment, it just costs a lot of money to set up the APIs and stuff like that to run the systems protection. So, we just think it should be done and done right. And that's the main part. It's not like you can't do it. The last thing is a liability shift. I mean, I don't think JPMorgan should be responsible if you've given your bank passcodes to third parties who market and do a whole bunch of stuff with it, and then you get scammed or fraud through them, they should be responsible. And we want real clarity about that. And if you see today, a lot of these scams and frauds run through third party social media and stuff like that, there should be a little more responsibility on their part so we can all do a better job for the customer. That's why.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
233,qa,5.0,1.0,Betsy L. Graseck,analyst,Morgan Stanley & Co. LLC,Excellent. Okay. Thank you so much for that.,2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,analyst
234,qa,5.0,2.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Thanks, Betsy. Operator: Thank you. Next we will go to the line of Steven Alexopoulos from TD Cowen. You may proceed.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
235,qa,6.0,,Steven Alexopolous,analyst,TD Securities,"Hey, good morning, everyone. I wanted to start, Jeremy, going back to your comments on inorganic things being on the table in terms of use of excess capital. So when I look at the company, so you're the largest U.S. bank by assets, you're also the largest in terms of the data you see every day. And you may or may not have seen that Apple's looking at possibly, there’s chatter, getting into the AI game more by looking at a company such as a Perplexity. Just thinking out loud here, would it make sense for JPMorgan to consider acquiring an LLM, right? The last two quarters of buybacks are about the last valuation round for Perplexity, right. I'm thinking of you guys, you could become the LLM for the financial services industry. What are your thoughts on this?",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,analyst
236,qa,6.0,1.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"We use LLMs, and we're going to be agnostic about that, too. There's no reason for us to own one. At least we can't figure out why that would make sense.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
238,qa,6.0,2.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"We will use it, and we will obviously be important in using our data to help our customers.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
239,qa,6.0,3.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Yeah. And on the question of inorganic deployment, I would sort of blend my comments with Jamie's, right? In the end, I'm just asserting that, of course, we need to look at inorganic opportunities; and of course, that's a question that comes up given our current excess capital position. But Jamie said clearly that he doesn't think that's particularly likely for some of the reasons that you emphasized, it's not easy to imagine a deal that would actually make sense.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
240,qa,6.0,4.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"We do a lot of small ones by the way, which you've seen.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
241,qa,7.0,,Steven Alexopolous,analyst,TD Securities,"Yeah, yeah. Okay. And then going back, Jamie, to your answer to Betsy's question on the tokenized deposit. I get it how that makes sense in terms of the customers that are inside your walled garden, but it doesn't help them much in terms of dealing with customers outside of your garden. What's holding up you guys and the other banks getting together to issue something joint – similar somewhat to what you've done with Zelle, and prevent these stablecoin companies like Circle coming in offering a more convenient solution to your customers?",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,analyst
242,qa,7.0,1.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,That's a great question and we’ll leave it it remaining as a question.,2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
243,qa,7.0,1.0,Steven Alexopolous,analyst,TD Securities,Without an answer.,2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,analyst
244,qa,7.0,2.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"Well, Steven, you're raising a very important point about interoperability of stablecoins and deposits and movement of money and what problem you're trying to solve, but you're raising great points. You can assume we're thinking about all that.",2025,Q2,False,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf,banker
