question_number,answer_number,speaker_name,role,company,content,year,quarter
36,,Mike Mayo,analyst,Well Fargo Securities LLC,"Hey, Jamie, you just said on this call, there's a ""Deep recognition of flaws"" by the new regulatory regime. And can you put – you or Jeremy, put some meat on the bones as far as what's been an ideal scenario? You keep the safety and soundness of the system, but you rid all – as much red tape and bureaucracy as possible. How much could expenses potentially decline? I assume you pass on some of that to customers and you'd keep some of that, and the regulators would save money. So, some meat on the bones about the potential concrete savings from deregulation. But before that, the negative, which you highlight in the press release and the Chairman Letter about trade wars, Jamie, you went from trade wars ""Get over it"" to this week say, ""Do something."" So just as far as the tariff journey, what were you initially expecting to what happened and do you really think next earnings call we'll be through most of the uncertainty? Thanks.",2025,Q1
36,1,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"Yeah. No, I don't think we'll necessarily be through all the uncertainty. I think you'll just know a lot more. And my quote was about, get over it. I wish I hadn't said it. I was specifically referring to tariffs relating to protecting national security. National security is paramount. All things should be subordinated to it. You may need tariffs to help fix some of the problems related to national security. National security is a small part of trade, so – and it's rare earths, penicillin, medical ingredients, certain types of – obviously, you've heard about semiconductors. That was my quote about, get over it. I did not change my view about it. I would like to see the administration negotiate trade deals. I think they'll be good for everybody, and they want to do it too. They've said they want to do it. They've said they're having conversations with 70, 80 different people. And so I do think if the regulators change regulations, it will free up capital and liquidity to finance the system. And I don't – I wouldn't expect an expense drawdown that you're going to see. There will be thousands – hundreds of people, maybe, but it's not going to be passed on. But it will reduce net-net the cost of liquidity and the cost of loans and the cost of mortgages, if it's done right. I specifically pointed out the mortgage issue in my Chairman's letter this year about if they do some of these reforms, the cost of mortgages would come down 70 basis points. If I were them, I'd be focusing on that right now.",2025,Q1
37,,Mike Mayo,analyst,Well Fargo Securities LLC,"No, and you also mentioned hundreds of billions of dollars of extra lending if you reduce the CET1 ratio, I guess, back down by one-fifth.",2025,Q1
37,1,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"If you do all – you have to fix LCR, G-SIFI, CCAR, SLR, and I think would free up hundreds of billions of dollars for JPMorgan annually of various types of lending to the system. Some would be markets, some would be middle market loans, et cetera. And I pointed out, if you wanted to look at the big numbers, that loans to deposits are now 70% for the banking system writ large. That used to be 100%, and the reason for that isn't – it's not just capital. It is also LCR, it is also G-SIFI, also – and the question you should ask because you are very smart, Mike, is could you have the same – and I believe you have a safer system, lend more money, have more liquidity, eliminate bank runs, eliminate what happened to First Republic and Silicon Valley, and you could accomplish all of that with completely rational and thoughtful regulations. That's what I would like to see them do. I don't know what's going to happen. We're going to...",2025,Q1
38,,Mike Mayo,analyst,Well Fargo Securities LLC,One short...,2025,Q1
38,1,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"You can read our – I think our NPRs are public and stuff like that. And so they should do that. Just make a better system. Or you have the best in the world. We've kind of started to cripple it slowly. If you don't – I'd say, you look at these rules and regulations. See Europe. If that's where we want to go. Let's just go there.",2025,Q1
39,,Mike Mayo,analyst,Well Fargo Securities LLC,"One short follow-up. Just first quarter, you mentioned good credit, good trading, good EPS beat. I'm not sure anyone cares. They're worried more about the things we're talking about here. But in terms of the risk of being an international company, an international U.S. company during trade wars. And I know JPMorgan is a firm that likes to partner with countries as well as communities and customers. So how do you think about that risk? How should we think about that risk? And hopefully, your voice is being heard to speed things along to whatever can be done, getting it done because you could be in the crosshairs at some point.",2025,Q1
39,1,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"Yeah. I honestly add that to the list of worries. We will be in the crosshairs. That's what's going to happen. And it's okay. We're deeply embedded in these other countries, people like us. But I do think some clients or some countries will feel differently about American banks, and we'll just have to deal with that.",2025,Q1
40,,Mike Mayo,analyst,Well Fargo Securities LLC,All right. Thank you. Operator: Thank you. Our next question comes from Glenn Schorr with Evercore. Your line is open.,2025,Q1
41,,Glenn Schorr,analyst,Evercore Group LLC,"Hi. Just one follow-up on this whole risk management/regulatory front. I see, I hear and I agree: flawed regulatory system, could be better. We've had massive volatility. The market plumbing has held in okay so far and you and others have had borderline spectacular trading results. So, has something changed? Are the systems better? Are they better able to handle your risk management, your people, the diversity of your platform better? Or are there still environments where not all volatility is good? Just curious to get your big picture thoughts. Thanks.",2025,Q1
41,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"I mean, maybe I'll start with that one, Glenn. So, I guess, I think that your points aren't mutually exclusive. Meaning, I mean, we're always continually improving the franchise. We've talked a lot about inward investment in all of our businesses, including Markets. And so we try to be more complete and invest in technology and work more closely with our clients. So I'm sure we're kind of better at it than we were five years ago, as I think probably everyone is at the margin. I'm not sure that you can associate that with the current performance. I think these just happen to be very favorable conditions that we've managed very successfully. And to your point, I think your specific question of like is there – are there still forms of volatility that can be bad for the Markets franchise? The answer to that question is definitely yes. When you have gappy volatility with no trading volume, people paralyzed, clients unsure what to do, active managers struggling, those environments are bad. So people make fun of the kind of good volatility, bad volatility story, but whether we like it or not, it's real. And in the end, we just have to manage the risks and serve the clients. And as I said earlier, we're happy to see that...",2025,Q1
41,2,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"Jeremy – I agree. Jeremy, I would add to that. Volatility leads to bigger bid-ask spreads, that, all things being equal, is better. And it leads sometimes to higher volumes. So you've seen really high volumes in FX and interest rate swaps, a whole bunch of different things, treasuries. That's better. But as Jeremy pointed out, sometimes that kind of volatility leads to very low volumes, like you see in DCM today when you don't have these bond deals where you have less trading, when you have – so it will have lower volumes in certain markets and stuff like that. And how it all filters through is almost impossible to tell. But our folks do a great job and we're here to help our clients. So we know that volumes can go up or down and spreads can go up or down. But the plumbing of the system, I would say the plumbing worked well during COVID too. I mean, it wasn't the plumbing that was a problem and wasn't even a problem to go back to some of the real crises we've had, so – but you should always worry about that kind of thing, make sure it stays true.",2025,Q1
41,3,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"And I do think that the fact that the revenue performance in this quarter is good shouldn't make us lose focus on the importance of the larger fixes around financial resource deployment by regulated banks to supporting the capital markets ecosystem. Everything Jamie's been talking about SLR, LCR, ILST, G-SIB, Basel III Endgame, RWA, the whole panoply of items, which interacts, as we've often talked about and is miss- calibrated, it will, at the margin, make it harder for banks to serve a stabilizing function in a difficult moment. So that remains quite important as a policy priority.",2025,Q1
42,,Glenn Schorr,analyst,Evercore Group LLC,That's a great point. Thanks for that. Appreciate it.,2025,Q1
42,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Thanks, Glenn. Operator: Thank you. And our final question will go to the line of Saul Martinez with HSBC. You may proceed.",2025,Q1
43,,Saul Martinez,analyst,"HSBC Securities (USA), Inc.","Okay. Good morning. Thanks for taking my question. Most of my questions have been asked and answered, but I guess I'll ask about costs since nobody has asked it. But I guess how should we think about the cost structure and any sort of cost optimization efforts, if you do see a revenue slowdown, but not necessarily a severe downturn? I think you do have, in the $95 billion guidance, you do have a good amount of growth penciled in for investing in bankers and branches and tech and marketing. And I guess, do you – does it make sense or under what conditions would it make sense for you to maybe pull back on some of these investments? Or do you think that's just completely shortsighted unless we see a real significant downturn in the economy.",2025,Q1
43,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Yeah. So you've slightly answered your own question there, Saul, but it is nonetheless a good question. So let me unpack it a little bit. So the way I think about it is there are some elements of the expense base which automatically reset as a function of the business environment. So we talk about those as volume- and revenue-related expenses. So you will see those come down as a function of the environment. It's also true that there are conceivably certain investment business cases, which depending on how the environment changes, could no longer make sense analyzed in the same way that we analyze them originally, i.e., through the lens of their ability to generate long-term shareholder value through a long investment cycle. And so if for whatever reason the environment changes in such a way as to make certain of those investments less compelling, we would obviously adjust. Of course, the thing that we're not going to do is stop investing in things that we still think are very compelling to our traditional long-term investment lens, simply for the purposes of achieving a cosmetic reduction in expenses in an environment where you may or may not have a reduction in revenues for unrelated reasons. As you well know, that's just not how we run the company. This quarter, as it happens, a question you might have is how are you managing to keep your guidance the same with what you're saying about, for example, the Investment Banking outlook? But it's worth noting that Investment Banking performance this quarter was actually fine. As you know, Markets performance was very strong. And there are also some ups and downs in there, I should note, including the fact that there is some sensitivity to the expense base to the strength of the dollar, or weakness in this case. And while some of that is offset in revenue, it's a little noisy, so that's a factor as well. It's small, but I'm just highlighting that there's some slightly non-obvious things that are non-strategic, obviously.",2025,Q1
43,2,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"Can I just add a management thing that I think is very important. And I always talk about good expenses and bad expenses and the good expenses of the bankers and branches that we think will pay off and – but there are also bad expenses, which I would put in the category of bureaucracy, lack of efficiency, things you don't need to do. And you can – if you go to – if you read my Chairman's letter, the last section is called Management Learnings. And if you look at companies that over time fail, it's almost always bureaucracy, complacency, arrogance and lack of attention to detail. And so there is – we're making a – I shouldn't say it, but I'm mad at myself for not doing it sooner to spend a little more time that after COVID – the buildup in headcount, the buildup in rules and regulations, the people working or not working from home. After all of those things, we just think there's more efficiency here. And I think some of the – and Mike Mayo mentioned the bit about regulation. He is right. There will be reductions in cost because rules and regulations will be modified a little bit. I mean we – I pointed out resolution/recovery, which is a complete waste of time, is 80,000 pages long. Okay. It will never happen that way. CCAR, which is virtually a waste of time, is 20,000 pages long. Okay. We report 1 trillion – I think it's 1 trillion bits of data every day or something like that to the – all the various regulators and stuff like that. There is this excessive cost built up that we – that hopefully we can get rid of and will reduce the cost of the system and – but it's not the new branches, so.",2025,Q1
43,3,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"And the folks here are working on, we call it, streamlining. Jenn Piepszak has got a war room going on it. We already have a significant amount of saves and stuff like that, so – and we're having fun doing it. It's like – to me, it's like exercising and eating your spinach. It's what we should be doing. We haven't done it for a while, so – and I apologize to my shareholders for not having done this a little bit sooner.",2025,Q1
44,,Saul Martinez,analyst,"HSBC Securities (USA), Inc.",Okay. That's very clear. Very helpful. Thank you.,2025,Q1
44,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,Okay. Thanks very much.,2025,Q1
44,2,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"Thank you. We'll talk to you next quarter. Operator: Thank you all for participating in today's conference. You may disconnect at this time and have a great rest of your day. Disclaimer This document contains forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. These statements are based on the current beliefs and expectations of JPMorgan Chase & Co.’s management and are subject to significant risks and uncertainties. Actual results may differ from those set forth in the forward-looking statements. Factors that could cause JPMorgan Chase & Co.’s actual results to differ materially from those described in the forward-looking statements can be found in JPMorgan Chase & Co.’s Annual Report on Form 10-K for the year ended December 31, 2024, which has been filed with the Securities and Exchange Commission and is available on JPMorgan Chase & Co.’s website (https://jpmorganchaseco.gcs-web.com/financial-information/sec-filings), and on the Securities and Exchange Commission’s website (www.sec.gov). JPMorgan Chase & Co. does not undertake to update any forward-looking statements",2025,Q1
