bank,year,quarter,pra_category,summary,n_pairs,median_evasion
JPM,2024,Q4,Liquidity,"Jamie Dimon: We want a coherent, rational, holistically-assessed regulatory framework that allows banks to do their job . Jamie Lynch: ""Let's do the right thing and continue to have the best financial system in the world"" Whether capital goes up, down, stays flat is really so complicated because it's also a G-SIB . Liquidity is also equally important . G-SIB number is an estimate, but we're quite confident that we wound up comfortably in the 5% bucket just as a result of normal seasonality . Deposit pricing is always going to be a response to the competitive environment that we experience in the field, the current structure of the yield curve is such that, for the time being anyway anyway, when we do the math, that's what we see . These statements are based on the current beliefs and expectations of JPMorgan Chase & Co.’s management and are subject to significant risks and uncertainties . Factors that could cause actual results to differ from those described in the forward-looking statements can be found in the Annual Report on Form 10-K for the year ended December 31, 2023 .",8,0.8366999924182892
JPM,2024,Q4,Liquidity risk,"Jamie Dimon: ""All we want is a coherent, rational, holistically-assessed regulatory framework that allows banks to do their job"" Deposit pricing is always going to be a response to the competitive environment that we experience in the field"" NII ex-markets is down year-on-year, but there's some normalization there .",2,0.8682000041007996
JPM,2024,Q4,Market risk,"John Sutter: It makes sense for us to have a nice store of extra capital in light of the current environment . We believe there's a good chance that there will be a moment where we get to deploy it at better levels than the current opportunities would suggest . Given that, we would like to not have the excess grow from here . Unless we find in the near term opportunities for organic deployment, it means more capital return through buybacks . If you want to assume something, if you assume the forwards, we're sort of telling you that we might return to sequential growth in the back half of the year . Deposit pricing is always going to be a response to the competitive environment that we experience in the field, the current structure of the yield curve is such that, for the time being anyway, when we do the math, that's what we see . The biggest single one arguably is that in what you might call the affluent section of the Wealth Management space, we are significantly underpenetrated relative to the number of households that We're aggressively engaging with clients and acquiring all the new clients and deepening in a lot of different markets as part of our branch expansion strategy . So the combination of the tail-end of the yield seeking flows and excellent client engagement is starting to show up in checking account growth, which we see as a healthy indicator for the franchise .",9,0.795799970626831
JPM,2024,Q4,Operational risk,The themes are remarkably consistent . We are seeing the results of our kind of high certainty investment choices across all the categories that you know very well and that we highlighted on the outlook page for expenses . The execution gets tweaked at the margin as we pursue different opportunities in Commercial & Investment Bank .,3,0.7215999960899353
JPM,2024,Q4,Risk management,"JPMorgan Chase & Co. has never thought of having cash in your pocket as a bad thing . Jenn Piepszak, who does not want to be the CEO, will be here as Chief Operating Officer and stay after that . This document contains forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995 .",3,0.6866000294685364
JPM,2025,Q1,Capital risk,"Some of the increases in spending that we're seeing in April are actually coming from the lower income segment . We really need reform across SLR, G-SIFI, CCAR, Basel III and LCR, all of which have deep flaws in them to make a material change . JPMorgan will be fine with/without an SLR change . If you do all – you have to fix LCR, G-SIFI, CCAR, SLR, and I think would free up hundreds of billions of dollars for JPMorgan annually of various types of lending to the system . When you have gappy volatility with no trading volume, people paralyzed, clients unsure what to do, active managers struggling, those environments are bad . Volatility leads to bigger bid-ask spreads, that, all things being equal, is better . Volatile leads to higher volumes in FX and interest rate swaps, a whole bunch of different things, treas",7,0.8246999979019165
JPM,2025,Q1,Credit risk,"Dimon says a recessionary environment is bad for banks from an equity performance perspective . Analyst community has already reduced its earnings estimates for the S&P by 5% . Dimon: A lot of companies are not doing things because of this, but they're going to wait and see . The most important thing to me is the Western world stays together economically when we get through all this and militarily to keep the world safe and free for democracy . But I do think some clients or some countries will feel differently about American banks, and we'll just have to deal with that . I honestly add that to the list of worries. We will be in the crosshairs. That's what's going to happen .",6,0.7596500039100647
JPM,2025,Q1,Governance,"I don't think it's anything... Whatever it is, it wasn't important enough to get raised, so. It could be the First Republic accounting, yes . I think there's a deep recognition of the flaws in the system, and there should be, and fortunately, they're going to take a good look at it . I think the best thing to do is to allow the Secretary of Treasury and the folks working with him and the administration to finish as quick as possible the agreements that they need to make with – around tariffs and with our trading partners . And I think there'll be agreements in principle. They're not going to be – trade agreements themselves would be 5,000 or 10,000 pages long. That does not mean you won't have some of the effects take place anyway.",3,0.6960999965667725
JPM,2025,Q1,Liquidity,"The investment that we do in banks, branches, technology, AI is going to continue regardless of the environment . We have plenty of capital and plenty of liquidity to get through whatever the stormy seas are . We really need reform across SLR, G-SIFI, CCAR, Basel III and LCR to make a material change . The best thing to do is to allow the Secretary of Treasury and the folks working with him and the administration to finish as quick as possible the agreements that they need to make with – around tariffs and with our trading partners . Volatility leads to bigger bid-ask spreads, but sometimes that kind of volatility leads to very low volumes . The fact that the revenue performance in this quarter is good shouldn't make us lose focus on the importance of the larger fixes around financial resource deployment by regulated banks to supporting the capital markets ecosystem . Volatility leads to bigger bid-ask spreads, that, all things being equal, is better . And in the end, we just have to manage the risks and serve clients .",15,0.8364999890327454
JPM,2025,Q1,Liquidity risk,"Jamie Dimon: We don't take more interest rate exposure to this in any way, shape or form . We really need reform across SLR, G-SIFI, CCAR, Basel III and LCR, all of which have deep flaws in them to make a material change . JPMorgan has $30 billion to $60 billion of excess capital .",5,0.8364999890327454
JPM,2025,Q1,Market risk,"Lower expected front-end rates are a headwind, but we do have some offsets . Drop in the weighted-average IORB, which is about 22 basis points, should produce a notable headwind in our NII ex Markets . A recessionary environment, as I've frequently said, all else equal, is bad for banks from an equity performance perspective . Some of the increases in spending that we're seeing in April are actually coming from the lower income segment . We really need reform across SLR, G-SIFI, CCAR, Basel III and LCR, all of which have deep flaws in them to make a material change . JPMorgan will be fine with/without an SLR change . We'll just have to see how the balances play out through the next three quarters . We're not – I don't personally like predicting what the future is going to hold . The most important thing to me is the Western world stays together economically when we get through all this and militarily to keep the world safe and free for democracy . The answer to that question is definitely yes. Volatility leads to bigger bid-ask spreads, that, all things being equal, is better . Sometimes that kind of volatility leads to very low volumes, like you see in DCM today . And how it all filters through is almost impossible to tell. But our folks do a great job and we're here to help our clients . This document contains forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995 . These statements are based on the current beliefs and expectations of JPMorgan Chase & Co.’s management and are subject to significant risks and uncertainties . Factors that could cause the actual results to differ from those described in the forward-statements can be found in JPMorgan Chase's Annual Report on Form 10-K .",19,0.8191999793052673
JPM,2025,Q1,Operational risk,"Jamie Dimon: I wish I hadn't said, get over it. I was specifically referring to tariffs relating to protecting national security . I don't expect an expense drawdown that you're going to see, but it's not going to be passed on . I would like to see the administration negotiate trade deals. I think they'll be good for everybody, and they want to do it too .",2,0.7549000084400177
JPM,2025,Q1,Risk management,"As you know, Steve, we're obviously not going to give Markets guidance . But the ingredients are the right ingredients. We need to do a good job managing the risk. And yeah, there are states of the world where if our clients are struggling or deleveraging or taking down risk, that could be a headwind for us. So we're going to just do what we always do and try to manage the risk well and serve our clients .",1,0.3142000138759613
JPM,2025,Q2,Capital adequacy,"Jamie Dimon: It's time that they take a step back. I hear sometimes from some pundits that there's been relaxing of rules and regulations, absolutely not . We deploy our capital against organic and inorganic growth, and we ensure a sustainable dividend . And with what's left, we do buybacks. But clearly, it is a big amount of excess and that does mean that everything is on the table as it always is .",6,0.6015500128269196
JPM,2025,Q2,Capital risk,"Jamie Dimon: It's time that they take a step back. I hear sometimes from some pundits that there's been relaxing of rules and regulations, absolutely not . We deploy our capital against organic and inorganic growth, and we ensure a sustainable dividend . And with what's left, we do buybacks. But clearly, it is a big amount of excess and that does mean that everything is on the table as it always is, and that includes potentially inorganic things . The tone shifted in Investment Banking in the second half of the quarter . Sponsors are still, at least from what I can tell anecdotally, still reluctant to use the public markets . The best way is organic growth, which I wouldn't rule out that we can find more ways to grow clients basically . Jamie Dimon: ""We're quite cautious to just declare victory like somehow we're entitled to these returns forever"" Dimon says the value to shareholders is that we can earn 17% ROTCE and reinvest money at 17%, but that's the value . If you could compound at 17% for 20 years, you probably would have a good chunk of the GDP of U.S. of America .",11,0.8152999877929688
JPM,2025,Q2,Credit risk,"Jamie Dimon says it's time for regulators to take a deep breath and look at the system and answer the question, how can we make it better and stronger for the economy . Dimon: G-SIB, in the sense of both the original gold plating and the failure to recalibrate it for growth since it was put into effect, is one of the worst . Dimon: ""We're essentially firing on all cylinders, with some very minor exceptions of certain businesses that are rate sensitive"" Dimon says JPMorganChase has been investing for a long time very successfully and leaning in even in moments where from the outside there wasn't that much appetite for us to be investing in all of the things Jamie's talking about . These statements are based on the current beliefs and expectations of JPMorgan Chase & Co.’s management and are subject to significant risks and uncertainties . Actual results may differ from those set forth in the forward-looking statements . Factors could be found in the Annual Report on Form 10-K for the year ended December 31, 2024 .",10,0.7731499969959259
JPM,2025,Q2,Governance,"Fixing SLR has been on the list for a long time . It behaved very much not the way it was designed in the moment of big QE when it became binding and it had bad impacts on the system . It's the opposite of what we want for these backstop measures . And so, we don't want regulators to need to make unusual corrections amid crisis .",4,0.6504500210285187
JPM,2025,Q2,IRRBB,"As we've talked about a little bit over time, though, I like the way you framed it in terms of like having the capacity. As we're in the corridor and we're okay with where we are right now. But, I mean, you can decrease volatility, but it's just a question of now or later. We did in fact add some duration this quarter, with the usual mix of instruments and strategies . It's almost impossible to get your asset sensitivity – your actual asset sensitivity - down to zero, because you wind up constrained by other things . So, we're in the corridor and we're okay with where we are right now, I think the way to think about it there is that, in general, it's almost .",1,0.7860000133514404
JPM,2025,Q2,Liquidity,"The way to be cognizant is to be involved in both J.P. Morgan Deposit coin and stablecoins to understand it, to be good at it . We use LLMs, and we're going to be agnostic about that, too . An unexpectedly high rate environment would probably lead to lower balance growth, all else is never equal . It's almost impossible to get your asset sensitivity down to zero for a bank like us, because you wind up constrained by other things . But, I mean, you can decrease volatility, but it's just a question of now or later . Things can happen, it's volatile, there's risk taking involved, that's part of the point that we build .",15,0.7860000133514404
JPM,2025,Q2,Liquidity risk,"Total loan to deposits used to be 100%, they’re now 70% . That's a huge difference . Can you get that back to 85% and have the banking system be safe and sound? Absolutely . And we’d certainly support the proposal, there are some nuances that – or a comment had been requested .",5,0.858299970626831
JPM,2025,Q2,Market risk,"Jamie Dimon: It's time that they take a step back. I hear sometimes from some pundits that there's been relaxing of rules and regulations, absolutely not . We deploy our capital against organic and inorganic growth, and we ensure a sustainable dividend . With what's left, we do buybacks. But clearly, it is a big amount of excess and that does mean that everything is on the table as it always is . A thing that's been true for us recently is that as a result of our market position and our pricing choices, we've probably lost a little bit of share during the rate hiking cycle . With yield seeking flows having abated, that relative headwind is kind of behind us or increasingly behind us . You saw us call out the growth in net new accounts in consumer checking this quarter, and that's one of the key drivers . We need a more active securitization market and all these things could reduce the actual cost of making a loan . We deploy capital by adding bankers or branches or products, not directly by deploying capital . Something may happen geopolitically, then all of a sudden that pipeline slows a little bit . And so, I'm always a little cautious to guess what that's going to be, but if it continues this way, yeah, you're going to have very active buckets . Jamie Dimon: ""We are deploying a lot of capital and other resources in this business, and we're earning good returns on it, but the revenue growth is not coming for free . Markets revenues did well in volatility in the first half of the quarter, but despite that we still did nicely . There is ongoing – deposits are very, very competitive, and there are always pricing conversations as there should be . Jamie Dimon: ""We're happy with the returns, but it's not just like growing without any inputs, essentially"" ""We've gotten, over time, a little bit more relaxed about talking about the Markets business as something that has relatively uncorrelated and reasonably recurring revenues,"" he said .",25,0.7196999788284302
JPM,2025,Q2,Operational risk,"We are in favor of the customer, but we think the customer has the right to if they want to share their information . What we ask people to do is, what do they – do they actually know what's being shared? It shouldn’t be everything. It should not be remarketed or resold to third parties . And then the payment, it just costs a lot of money to set up the APIs and stuff like that to run the systems protection .",3,0.8935999870300293
JPM,2025,Q2,Risk management,"Jamie Dimon: ""If you could compound at 17% for 20 years, you probably would have a good chunk of the GDP of United States of America, for 40 years maybe"" Dimin: ""We're essentially firing on all cylinders, with some very minor exceptions of certain businesses that are extremely rate sensitive, like Home Lending""",4,0.7285999953746796
